date,contract,oi,traders,CL,CS,NL,NS,trCL,trCS,trNL,trNS,c4L,c4S,c8L,c8S,comm_gross,nonc_gross,comm_net,nonc_net,bf_per_contract,oi_bf,CL_bf,CS_bf,NL_bf,NS_bf,comm_gross_bf,nonc_gross_bf,comm_net_bf,nonc_net_bf,y,m
2021-01-05,RANDOM LENGTH LUMBER,2874,38,803,2041,855,299,7,12,14,7,30.0,49.9,41.3,64.5,2844,1154,-1238,556,110000,316140000,88330000,224510000,94050000,32890000,312840000,126940000,-136180000,61160000,2021,1
2021-01-12,RANDOM LENGTH LUMBER,2723,36,744,1905,960,268,9,12,12,6,29.9,52.9,43.3,64.4,2649,1228,-1161,692,110000,299530000,81840000,209550000,105600000,29480000,291390000,135080000,-127710000,76120000,2021,1
2021-01-19,RANDOM LENGTH LUMBER,2699,36,707,1929,941,270,9,12,11,6,28.2,53.2,42.5,65.0,2636,1211,-1222,671,110000,296890000,77770000,212190000,103510000,29700000,289960000,133210000,-134420000,73810000,2021,1
2021-01-26,RANDOM LENGTH LUMBER,2773,36,888,1969,868,278,11,14,11,6,33.5,49.7,44.8,65.7,2857,1146,-1081,590,110000,305030000,97680000,216590000,95480000,30580000,314270000,126060000,-118910000,64900000,2021,1
2021-02-02,RANDOM LENGTH LUMBER,2786,41,891,1838,916,305,10,13,14,7,32.4,44.4,43.6,60.6,2729,1221,-947,611,110000,306460000,98010000,202180000,100760000,33550000,300190000,134310000,-104170000,67210000,2021,2
2021-02-09,RANDOM LENGTH LUMBER,2805,39,959,1916,904,279,11,13,14,6,34.6,46.9,45.2,63.3,2875,1183,-957,625,110000,308550000,105490000,210760000,99440000,30690000,316250000,130130000,-105270000,68750000,2021,2
2021-02-16,RANDOM LENGTH LUMBER,3170,45,1213,2234,936,354,13,16,14,9,35.2,48.3,44.8,62.3,3447,1290,-1021,582,110000,348700000,133430000,245740000,102960000,38940000,379170000,141900000,-112310000,64020000,2021,2
2021-02-23,RANDOM LENGTH LUMBER,3293,46,1359,2293,847,380,14,14,12,9,35.6,50.5,45.2,63.4,3652,1227,-934,467,110000,362230000,149490000,252230000,93170000,41800000,401720000,134970000,-102740000,51370000,2021,2
2021-03-02,RANDOM LENGTH LUMBER,3134,38,1322,2188,698,264,11,14,9,9,40.7,52.8,49.9,64.9,3510,962,-866,434,110000,344740000,145420000,240680000,76780000,29040000,386100000,105820000,-95260000,47740000,2021,3
2021-03-09,RANDOM LENGTH LUMBER,3056,42,1324,2163,687,293,13,14,11,9,38.3,52.5,48.0,64.6,3487,980,-839,394,110000,336160000,145640000,237930000,75570000,32230000,383570000,107800000,-92290000,43340000,2021,3
2021-03-16,RANDOM LENGTH LUMBER,3059,41,1259,2161,664,237,12,14,11,8,37.8,51.9,48.6,64.0,3420,901,-902,427,110000,336490000,138490000,237710000,73040000,26070000,376200000,99110000,-99220000,46970000,2021,3
2021-03-23,RANDOM LENGTH LUMBER,3091,43,1243,2202,726,253,13,13,13,7,33.8,52.6,42.9,66.0,3445,979,-959,473,110000,340010000,136730000,242220000,79860000,27830000,378950000,107690000,-105490000,52030000,2021,3
2021-03-30,RANDOM LENGTH LUMBER,3116,45,1332,2242,662,333,14,14,13,8,31.6,52.1,41.8,65.8,3574,995,-910,329,110000,342760000,146520000,246620000,72820000,36630000,393140000,109450000,-100100000,36190000,2021,3
2021-04-06,RANDOM LENGTH LUMBER,2980,41,1073,2183,677,245,12,12,13,6,27.7,54.1,37.8,67.8,3256,922,-1110,432,110000,327800000,118030000,240130000,74470000,26950000,358160000,101420000,-122100000,47520000,2021,4
2021-04-13,RANDOM LENGTH LUMBER,2814,35,1089,2050,560,130,13,13,11,3,27.6,52.1,38.2,65.0,3139,690,-961,430,110000,309540000,119790000,225500000,61600000,14300000,345290000,75900000,-105710000,47300000,2021,4
2021-04-20,RANDOM LENGTH LUMBER,2824,39,1132,1921,509,262,15,15,11,5,25.5,44.9,35.2,58.0,3053,771,-789,247,110000,310640000,124520000,211310000,55990000,28820000,335830000,84810000,-86790000,27170000,2021,4
2021-04-27,RANDOM LENGTH LUMBER,2684,36,1069,1622,393,308,14,15,9,6,27.3,37.4,37.9,50.6,2691,701,-553,85,110000,295240000,117590000,178420000,43230000,33880000,296010000,77110000,-60830000,9350000,2021,4
2021-05-04,RANDOM LENGTH LUMBER,2539,37,973,1384,409,259,15,14,9,7,27.1,34.1,35.0,47.1,2357,668,-411,150,110000,279290000,107030000,152240000,44990000,28490000,259270000,73480000,-45210000,16500000,2021,5
